Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Schizophrenia,C0036341,IL1B,3553,P01584,interleukin 1 beta,,1801,0.276,0.962,0.13005,0.4,,0.9,40,5,1997,2020
Schizophrenia,C0036341,IL2,3558,P60568,interleukin 2,,950,0.336,0.885,0.47968,0.4,,1,11,0,1995,2019
Schizophrenia,C0036341,IL4,3565,P05112,interleukin 4,,996,0.332,0.962,0.0047372,0.4,,0.4,12,0,2003,2020
Schizophrenia,C0036341,IL6,3569,P05231,interleukin 6,,2367,0.248,0.962,0.31536,0.4,,0.95,40,1,1994,2020
Schizophrenia,C0036341,IL10,3586,P22301,interleukin 10,,1679,0.281,0.923,0.0058874,0.4,,1,24,1,2002,2020
Schizophrenia,C0036341,KCNN3,3782,Q9UGI6,potassium calcium-activated channel subfamily N member 3,Ion channel,60,0.621,0.615,0.97227,0.4,,0.667,16,0,1998,2011
Schizophrenia,C0036341,LEP,3952,P41159,leptin,,931,0.349,0.846,0.46491,0.4,,1,18,0,2005,2019
Schizophrenia,C0036341,MIR137,406928,,microRNA 137,,171,0.513,0.846,,0.4,,0.954,65,1,2011,2020
Schizophrenia,C0036341,MAG,4099,P20916,myelin associated glycoprotein,Receptor,106,0.579,0.692,0.49228,0.4,,0.4,11,4,2004,2011
Schizophrenia,C0036341,MAOA,4128,P21397,monoamine oxidase A,,300,0.465,0.769,0.99928,0.4,,1,28,2,1996,2019
Schizophrenia,C0036341,MAOB,4129,P27338,monoamine oxidase B,,152,0.533,0.808,0.99903,0.4,,0.889,18,2,1996,2019
Schizophrenia,C0036341,MMP9,4318,P14780,matrix metallopeptidase 9,Enzyme,1337,0.305,0.923,1.8869E-17,0.4,,1,15,2,2009,2019
Schizophrenia,C0036341,NPY,4852,P01303,neuropeptide Y,Signaling,381,0.447,0.846,0.14294,0.4,,1,15,1,2003,2017
Schizophrenia,C0036341,NTF3,4908,P20783,neurotrophin 3,Signaling,170,0.519,0.808,0.93201,0.4,,0.778,18,0,1994,2019
Schizophrenia,C0036341,PIP4K2A,5305,P48426,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,Kinase,42,0.647,0.423,0.14155,0.4,,0.75,12,6,2005,2014
Schizophrenia,C0036341,PLA2G1B,5319,P04054,phospholipase A2 group IB,Enzyme,268,0.468,0.846,1.0057E-10,0.4,,1,16,0,1997,2019
Schizophrenia,C0036341,PLA2G4A,5321,P47712,phospholipase A2 group IVA,Enzyme,202,0.496,0.846,0.000059817,0.4,,0.8,18,1,1996,2019
Schizophrenia,C0036341,AHI1,54806,Q8N157,Abelson helper integration site 1,,221,0.513,0.846,1.0773E-25,0.4,,1,13,2,2006,2018
Schizophrenia,C0036341,PPP3CC,5533,P48454,protein phosphatase 3 catalytic subunit gamma,,15,0.769,0.192,0.26374,0.4,,1,13,10,2003,2018
Schizophrenia,C0036341,VPS35,55737,Q96QK1,VPS35 retromer complex component,Transporter,66,0.656,0.5,0.96921,0.4,,1,1,0,2011,2011
Schizophrenia,C0036341,PRL,5617,P01236,prolactin,Signaling,506,0.406,0.885,2.9015E-07,0.4,,1,34,1,2002,2020
Schizophrenia,C0036341,PSD,5662,A5PKW4,pleckstrin and Sec7 domain containing,,59,0.626,0.654,0.90358,0.4,,1,10,0,2005,2019
Schizophrenia,C0036341,SLC17A7,57030,Q9P2U7,solute carrier family 17 member 7,Transporter,79,0.636,0.308,0.99988,0.4,,0.25,12,0,2004,2019
Schizophrenia,C0036341,RTN4,57142,Q9NQC3,reticulon 4,,71,0.621,0.692,0.45318,0.4,,0.917,12,2,2002,2018
Schizophrenia,C0036341,PVALB,5816,P20472,parvalbumin,Calcium-binding protein,148,0.547,0.692,0.086602,0.4,,0.985,66,0,2003,2020
Schizophrenia,C0036341,BDNF,627,P23560,brain derived neurotrophic factor,Signaling,992,0.345,0.923,0.65626,0.4,,0.932,249,12,1998,2020
Schizophrenia,C0036341,S100B,6285,P04271,S100 calcium binding protein B,Calcium-binding protein,599,0.383,0.923,0.04387,0.4,,1,20,2,2005,2020
Schizophrenia,C0036341,CCL2,6347,P13500,C-C motif chemokine ligand 2,Signaling,1157,0.321,0.962,0.60786,0.4,,1,11,0,2004,2019
Schizophrenia,C0036341,NPAS3,64067,Q8IXF0,neuronal PAS domain protein 3,Transcription factor,29,0.729,0.269,0.99974,0.4,,1,10,5,2003,2015
Schizophrenia,C0036341,SLC1A2,6506,P43004,solute carrier family 1 member 2,Transporter,208,0.511,0.731,0.71036,0.4,,1,17,1,1998,2019
Schizophrenia,C0036341,SLC6A4,6532,P31645,solute carrier family 6 member 4,Transporter,440,0.429,0.808,0.24602,0.4,,0.854,48,11,1998,2020
Schizophrenia,C0036341,SLC6A9,6536,P48067,solute carrier family 6 member 9,Transporter,71,0.641,0.5,0.000021702,0.4,,0.5,14,1,2006,2019
Schizophrenia,C0036341,SLC18A2,6571,Q05940,solute carrier family 18 member A2,Transporter,150,0.554,0.769,0.075523,0.4,,1,11,2,1995,2018
Schizophrenia,C0036341,SOD2,6648,P04179,superoxide dismutase 2,Enzyme,668,0.379,0.923,0.15499,0.4,,0.25,12,2,2003,2015
Schizophrenia,C0036341,SST,6750,P61278,somatostatin,Signaling,535,0.399,0.885,0.34128,0.4,,1,18,0,2008,2020
Schizophrenia,C0036341,TNF,7124,P01375,tumor necrosis factor,Signaling,2724,0.231,0.962,0.8033,0.4,,0.906,53,3,1997,2020
Schizophrenia,C0036341,TPH1,7166,P17752,tryptophan hydroxylase 1,,127,0.553,0.731,3.1872E-07,0.4,,1,16,1,2000,2017
Schizophrenia,C0036341,FZD3,7976,Q9NPG1,frizzled class receptor 3,G-protein coupled receptor,39,0.659,0.577,0.00043561,0.4,,0.4,11,2,2003,2016
Schizophrenia,C0036341,APOL4,80832,Q9BPW4,apolipoprotein L4,Transporter,8,0.839,0.231,0.0010662,0.4,,,0,0,,
Schizophrenia,C0036341,ST8SIA2,8128,Q92186,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",,39,0.674,0.538,0.058099,0.4,,0.8,15,4,2006,2020
Schizophrenia,C0036341,NDEL1,81565,Q9GZM8,nudE neurodevelopment protein 1 like 1,,36,0.666,0.462,0.98351,0.4,,0.75,14,2,2007,2019
Schizophrenia,C0036341,SYN3,8224,O14994,synapsin III,Cellular structure,38,0.686,0.462,0.0018871,0.4,,0.5,10,2,2000,2009
Schizophrenia,C0036341,PLA2G6,8398,O60733,phospholipase A2 group VI,Enzyme modulator,350,0.476,0.846,2.4837E-10,0.4,,1,10,1,2003,2019
Schizophrenia,C0036341,CCK,885,P06307,cholecystokinin,,326,0.453,0.846,0.000033034,0.4,,1,11,0,1995,2016
Schizophrenia,C0036341,CHRFAM7A,89832,P36544;Q494W8,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion,,39,0.659,0.385,0.00023228,0.4,,1,18,0,1998,2018
Schizophrenia,C0036341,HOMER1,9456,Q86YM7,homer scaffold protein 1,,85,0.636,0.538,0.9992,0.4,,1,12,0,2003,2018
Schizophrenia,C0036341,CNTF,1270,P26441,ciliary neurotrophic factor,,114,0.561,0.615,0.000023384,0.39,,0.25,9,1,1996,2008
Schizophrenia,C0036341,DLG1,1739,Q12959,discs large MAGUK scaffold protein 1,Receptor,54,0.647,0.654,0.99393,0.39,,0.9,10,2,2002,2018
Schizophrenia,C0036341,ERBB3,2065,P21860,erb-b2 receptor tyrosine kinase 3,Kinase,318,0.448,0.808,1.7003E-15,0.39,,0.333,9,0,2004,2017
Schizophrenia,C0036341,MLC1,23209,Q15049,modulator of VRAC current 1,Ion channel,87,0.585,0.769,3.2425E-08,0.39,,0.5,9,3,2002,2015
Schizophrenia,C0036341,GFAP,2670,P14136,glial fibrillary acidic protein,,447,0.421,0.885,1.4601E-06,0.39,,1,9,0,2005,2017
Schizophrenia,C0036341,HPGDS,27306,O60760,hematopoietic prostaglandin D synthase,,570,0.388,0.923,1.8063E-06,0.39,,1,10,0,2003,2019
Schizophrenia,C0036341,GNAO1,2775,P09471,G protein subunit alpha o1,Enzyme modulator,188,0.523,0.808,0.98963,0.39,,0.5,9,0,1993,2018
Schizophrenia,C0036341,GSTM1,2944,P09488,glutathione S-transferase mu 1,,627,0.38,0.923,0.0020641,0.39,,0.75,10,0,2001,2016
Schizophrenia,C0036341,NDUFV2,4729,P19404,NADH:ubiquinone oxidoreductase core subunit V2,,94,0.61,0.5,0.005576,0.39,,1,9,0,2006,2018
Schizophrenia,C0036341,OXTR,5021,P30559,oxytocin receptor,G-protein coupled receptor,144,0.541,0.769,0.00071066,0.39,,1,9,3,2010,2020
Schizophrenia,C0036341,ACTB,60,P60709,actin beta,Cellular structure,1110,0.325,0.923,0.98564,0.39,,1,9,0,2010,2020
Schizophrenia,C0036341,CLDN5,7122,O00501,claudin 5,Cell-cell junction,104,0.559,0.769,0.89512,0.39,,1,9,2,2004,2019
Schizophrenia,C0036341,TP53,7157,P04637,tumor protein p53,Transcription factor,2494,0.236,0.962,0.53235,0.39,,1,10,5,2001,2019
Schizophrenia,C0036341,VIPR2,7434,P41587,vasoactive intestinal peptide receptor 2,G-protein coupled receptor,58,0.619,0.692,4.718E-11,0.39,,0.889,9,0,2011,2018
Schizophrenia,C0036341,CCKAR,886,P32238,cholecystokinin A receptor,G-protein coupled receptor,62,0.615,0.5,0.0040329,0.39,,0.8,9,1,1999,2017
Schizophrenia,C0036341,PDLIM5,10611,Q96HC4,PDZ and LIM domain 5,Cellular structure,148,0.525,0.808,0.0016769,0.38,,0.75,8,3,2004,2019
Schizophrenia,C0036341,CYFIP1,23191,Q7L576,cytoplasmic FMR1 interacting protein 1,Enzyme modulator,40,0.674,0.538,0.96816,0.38,,1,8,1,2013,2019
Schizophrenia,C0036341,GAD2,2572,Q05329,glutamate decarboxylase 2,Enzyme,173,0.529,0.731,0.75083,0.38,,0.9,10,0,2004,2017
Schizophrenia,C0036341,GSTT1,2952,P30711,glutathione S-transferase theta 1,,541,0.393,0.923,0.00014834,0.38,,1,9,0,2007,2015
Schizophrenia,C0036341,HLA-C,3107,P10321,"major histocompatibility complex, class I, C",,435,0.415,0.846,1.5695E-06,0.38,,1,8,1,1993,2018
Schizophrenia,C0036341,HSPA1A,3303,P0DMV8;P0DMV9,heat shock protein family A (Hsp70) member 1A,,229,0.486,0.769,0.030228,0.38,,0.8,8,1,2005,2018
Schizophrenia,C0036341,HTR3A,3359,P46098,5-hydroxytryptamine receptor 3A,Ion channel,75,0.608,0.538,1.7499E-10,0.38,,0.5,8,1,2001,2013
Schizophrenia,C0036341,IL3,3562,P08700,interleukin 3,,211,0.489,0.731,2.5874E-09,0.38,,1,8,0,2007,2018
Schizophrenia,C0036341,NTRK2,4915,Q16620,neurotrophic receptor tyrosine kinase 2,Kinase,284,0.479,0.808,1,0.38,,0.5,9,0,2003,2016
Schizophrenia,C0036341,PCM1,5108,Q15154,pericentriolar material 1,,44,0.644,0.615,3.7067E-16,0.38,,0.75,8,1,2006,2019
Schizophrenia,C0036341,PIK3CA,5290,P42336,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Kinase,1511,0.292,0.923,1,0.38,,1,9,3,2010,2019
Schizophrenia,C0036341,AVP,551,P01185,arginine vasopressin,Signaling,454,0.437,0.846,0.074413,0.38,,1,9,0,1987,2018
Schizophrenia,C0036341,SOX10,6663,P56693,SRY-box transcription factor 10,,334,0.461,0.808,0.99166,0.38,,1,8,2,2005,2014
Schizophrenia,C0036341,TLR4,7099,O00206,toll like receptor 4,,1174,0.321,0.962,4.6131E-09,0.38,,1,8,0,2013,2020
Schizophrenia,C0036341,TSNAX,7257,Q99598,translin associated factor X,,19,0.76,0.192,0.48922,0.38,,0.875,8,1,2000,2018
Schizophrenia,C0036341,VEGFA,7422,P15692,vascular endothelial growth factor A,Signaling,1899,0.266,0.923,0.000024085,0.38,,0.875,8,1,2009,2019
Schizophrenia,C0036341,ADORA2A,135,P29274,adenosine A2a receptor,G-protein coupled receptor,213,0.526,0.769,0.5971,0.37,,0.75,8,0,1996,2019
Schizophrenia,C0036341,CREB1,1385,P16220,cAMP responsive element binding protein 1,,294,0.463,0.885,0.99673,0.37,,0.667,7,3,1999,2019
Schizophrenia,C0036341,CMYA5,202333,Q8N3K9,cardiomyopathy associated 5,,22,0.711,0.423,1.3454E-54,0.37,,1,7,8,2011,2019
Schizophrenia,C0036341,NTNG1,22854,Q9Y2I2,netrin G1,Enzyme modulator,64,0.65,0.423,0.9167,0.37,,1,7,1,2004,2014
Schizophrenia,C0036341,ARC,23237,Q7LC44,activity regulated cytoskeleton associated protein,,101,0.573,0.769,0.59433,0.37,,1,7,0,2012,2019
Schizophrenia,C0036341,GABRB3,2562,P28472,gamma-aminobutyric acid type A receptor subunit beta3,Ion channel,139,0.546,0.615,0.95138,0.37,,1,7,2,2005,2019
Schizophrenia,C0036341,GRIK3,2899,Q13003,glutamate ionotropic receptor kainate type subunit 3,Ion channel,35,0.674,0.538,0.99998,0.37,,0.6,7,1,2002,2010
Schizophrenia,C0036341,ERVW-1,30816,Q9UQF0,"endogenous retrovirus group W member 1, envelope",,193,0.505,0.692,,0.37,,1,8,0,2008,2019
Schizophrenia,C0036341,HINT1,3094,P49773,histidine triad nucleotide binding protein 1,Enzyme,105,0.619,0.577,0.0018235,0.37,,1,8,0,2004,2017
Schizophrenia,C0036341,HTR1F,3355,P30939,5-hydroxytryptamine receptor 1F,G-protein coupled receptor,20,0.716,0.192,0.0046656,0.37,,0.5,7,0,1996,2004
Schizophrenia,C0036341,HTR7,3363,P34969,5-hydroxytryptamine receptor 7,G-protein coupled receptor,103,0.592,0.5,0.045409,0.37,,0.5,8,0,1996,2017
Schizophrenia,C0036341,KCNH2,3757,Q12809,potassium voltage-gated channel subfamily H member 2,Ion channel,189,0.522,0.731,0.99593,0.37,,1,7,1,2009,2020
Schizophrenia,C0036341,MAP2,4133,P11137,microtubule associated protein 2,,126,0.537,0.692,1,0.37,,0.857,7,0,2001,2019
Schizophrenia,C0036341,MOG,4340,Q16653,myelin oligodendrocyte glycoprotein,Enzyme modulator,136,0.546,0.731,0.13748,0.37,,0.333,7,0,2005,2018
Schizophrenia,C0036341,NTS,4922,P30990,neurotensin,,184,0.517,0.769,0.000038527,0.37,,1,10,0,1999,2019
Schizophrenia,C0036341,PAH,5053,P00439,phenylalanine hydroxylase,,219,0.516,0.769,6.4046E-23,0.37,,1,7,1,1993,2018
Schizophrenia,C0036341,PIK3CB,5291,P42338,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Kinase,1083,0.322,0.885,0.99964,0.37,,1,8,0,2011,2019
Schizophrenia,C0036341,PLXNA2,5362,O75051,plexin A2,,307,0.447,0.808,1.0768E-06,0.37,,1,8,4,2006,2018
Schizophrenia,C0036341,SLC12A5,57468,Q9H2X9,solute carrier family 12 member 5,Transporter,135,0.57,0.654,1,0.37,,0.667,7,0,2011,2019
Schizophrenia,C0036341,SLC1A3,6507,P43003,solute carrier family 1 member 3,Transporter,109,0.573,0.577,0.98914,0.37,,1,8,0,2002,2016
Schizophrenia,C0036341,SLC12A2,6558,P55011,solute carrier family 12 member 2,Transporter,128,0.552,0.808,0.96153,0.37,,0.75,8,1,2011,2019
Schizophrenia,C0036341,SLC18A1,6570,P54219,solute carrier family 18 member A1,Transporter,45,0.647,0.462,2.8012E-21,0.37,,1,7,0,2006,2019
Schizophrenia,C0036341,SYP,6855,P08247,synaptophysin,Transporter,243,0.481,0.808,0.91549,0.37,,0.875,8,0,1995,2019
Schizophrenia,C0036341,CALM1,801,P0DP23;P0DP24;P0DP25,calmodulin 1,Calcium-binding protein,253,0.472,0.808,0.94473,0.37,,0.857,7,0,1997,2011
Schizophrenia,C0036341,QKI,9444,Q96PU8,"QKI, KH domain containing RNA binding",Nucleic acid binding,61,0.617,0.5,0.75121,0.37,,0.8,7,0,2006,2014
Schizophrenia,C0036341,CLOCK,9575,O15516,clock circadian regulator,,309,0.463,0.885,0.99957,0.37,,1,7,0,2001,2014
Schizophrenia,C0036341,SIGMAR1,10280,Q99720,sigma non-opioid intracellular receptor 1,,190,0.544,0.808,0.1678,0.36,,0.5,6,2,2000,2017
Schizophrenia,C0036341,CAMKK2,10645,Q96RR4,calcium/calmodulin dependent protein kinase kinase 2,Kinase,62,0.617,0.654,0.091625,0.36,,1,6,2,2014,2018
Schizophrenia,C0036341,CHL1,10752,O00533,cell adhesion molecule L1 like,,73,0.603,0.654,8.889E-12,0.36,,1,6,3,2002,2017
Schizophrenia,C0036341,CHRM4,1132,P08173,cholinergic receptor muscarinic 4,G-protein coupled receptor,33,0.821,0.231,0.97439,0.36,,1,6,1,2002,2019
Schizophrenia,C0036341,CTNNB1,1499,P35222,catenin beta 1,,1368,0.303,0.885,0.99999,0.36,,1,6,1,2010,2019
Schizophrenia,C0036341,DLG3,1741,Q92796,discs large MAGUK scaffold protein 3,,144,0.544,0.615,0.99999,0.36,,0.4,6,0,2003,2008
Schizophrenia,C0036341,EGR1,1958,P18146,early growth response 1,Nucleic acid binding,378,0.433,0.923,0.3509,0.36,,0.667,6,0,2010,2019
Schizophrenia,C0036341,FABP7,2173,O15540,fatty acid binding protein 7,,82,0.584,0.577,0.00078595,0.36,,1,6,0,2007,2019
Schizophrenia,C0036341,ADNP,23394,Q9H2P0,activity dependent neuroprotector homeobox,,171,0.561,0.808,1,0.36,,1,6,0,2011,2019
Schizophrenia,C0036341,GRIA2,2891,P42262,glutamate ionotropic receptor AMPA type subunit 2,Ion channel,110,0.573,0.692,0.99916,0.36,,0.5,6,1,1995,2020
Schizophrenia,C0036341,GRID1,2894,Q9ULK0,glutamate ionotropic receptor delta type subunit 1,Ion channel,22,0.743,0.385,0.99931,0.36,,1,7,5,2005,2018
Schizophrenia,C0036341,GRIK1,2897,P39086,glutamate ionotropic receptor kainate type subunit 1,Ion channel,59,0.641,0.462,1.1948E-09,0.36,,0.5,6,4,1994,2012
Schizophrenia,C0036341,GRM1,2911,Q13255,glutamate metabotropic receptor 1,G-protein coupled receptor,172,0.528,0.808,0.14279,0.36,,1,7,0,2005,2019
Schizophrenia,C0036341,GRM8,2918,O00222,glutamate metabotropic receptor 8,G-protein coupled receptor,56,0.636,0.577,4.5334E-07,0.36,,0.333,6,4,2001,2018
Schizophrenia,C0036341,GSTP1,2950,P09211,glutathione S-transferase pi 1,,610,0.383,0.923,0.014155,0.36,,0.5,6,1,2003,2017
Schizophrenia,C0036341,HDAC1,3065,Q13547,histone deacetylase 1,Epigenetic regulator,277,0.46,0.846,0.61427,0.36,,1,7,0,2008,2017
Schizophrenia,C0036341,HDAC2,3066,Q92769,histone deacetylase 2,Epigenetic regulator,257,0.476,0.846,0.99997,0.36,,1,6,2,2012,2019
Schizophrenia,C0036341,HSPA1B,3304,P0DMV8;P0DMV9,heat shock protein family A (Hsp70) member 1B,,251,0.474,0.808,0.0053464,0.36,,0.667,6,1,2005,2020
Schizophrenia,C0036341,HTR5A,3361,P47898,5-hydroxytryptamine receptor 5A,G-protein coupled receptor,25,0.716,0.231,0.0062906,0.36,,1,6,2,2000,2016
Schizophrenia,C0036341,IL18,3606,Q14116,interleukin 18,,750,0.365,0.923,0.030717,0.36,,0.5,6,2,2008,2018
Schizophrenia,C0036341,NTRK1,4914,P04629,neurotrophic receptor tyrosine kinase 1,Kinase,443,0.422,0.808,1.9568E-06,0.36,,1,7,1,1998,2019
Schizophrenia,C0036341,OPRM1,4988,P35372,opioid receptor mu 1,G-protein coupled receptor,370,0.457,0.808,7.8882E-11,0.36,,1,6,2,2003,2019
Schizophrenia,C0036341,PCNT,5116,O95613,pericentrin,,156,0.564,0.808,4.0172E-58,0.36,,0.5,6,3,2008,2019
Schizophrenia,C0036341,BAG1,573,Q99933,BAG cochaperone 1,,128,0.538,0.769,6.5264E-06,0.36,,1,6,0,2002,2013
Schizophrenia,C0036341,NUFIP2,57532,Q7Z417,nuclear FMR1 interacting protein 2,,58,0.641,0.577,0.99891,0.36,,1,6,0,2013,2018
Schizophrenia,C0036341,SOD1,6647,P00441,superoxide dismutase 1,Enzyme,689,0.379,0.962,0.1773,0.36,,0.833,6,0,2004,2018
Schizophrenia,C0036341,SREBF1,6720,P36956,sterol regulatory element binding transcription factor 1,,159,0.518,0.808,0.014708,0.36,,1,6,1,2010,2018
Schizophrenia,C0036341,VGF,7425,O15240,VGF nerve growth factor inducible,,63,0.626,0.538,0.56825,0.36,,0.833,6,0,2008,2019
Schizophrenia,C0036341,XBP1,7494,P17861,X-box binding protein 1,,234,0.477,0.846,0.032014,0.36,,0.333,6,0,2004,2008
Schizophrenia,C0036341,PIP4K2C,79837,Q8TBX8,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,Kinase,14,0.78,0.346,0.0018314,0.36,,1,6,0,2005,2014
Schizophrenia,C0036341,HDAC3,8841,O15379,histone deacetylase 3,Epigenetic regulator,179,0.511,0.731,0.56737,0.36,,1,7,0,2008,2018
Schizophrenia,C0036341,PICK1,9463,Q9NRD5,protein interacting with PRKCA 1,Enzyme modulator,34,0.682,0.538,0.0081806,0.36,,0.75,6,2,2004,2017
Schizophrenia,C0036341,CACNG2,10369,Q9Y698,calcium voltage-gated channel auxiliary subunit gamma 2,Ion channel,24,0.729,0.385,0.92315,0.35,,0.667,5,0,2006,2013
Schizophrenia,C0036341,CPLX1,10815,O14810,complexin 1,,138,0.576,0.654,0.82499,0.35,,0.833,6,0,1998,2017
Schizophrenia,C0036341,UHMK1,127933,Q8TAS1,U2AF homology motif kinase 1,Kinase,31,0.674,0.462,0.83404,0.35,,0.5,5,1,2007,2011
Schizophrenia,C0036341,CSF2,1437,P04141,colony stimulating factor 2,Signaling,1028,0.33,0.962,0.83468,0.35,,1,5,0,2007,2019
Schizophrenia,C0036341,NCAN,1463,O14594,neurocan,Extracellular structure,44,0.67,0.5,0.068,0.35,,1,5,1,2011,2015
Schizophrenia,C0036341,DDC,1644,P20711,dopa decarboxylase,,164,0.535,0.769,3.7519E-08,0.35,,0.333,5,0,1997,2014
Schizophrenia,C0036341,NQO1,1728,P15559,NAD(P)H quinone dehydrogenase 1,,368,0.434,0.885,1.1867E-09,0.35,,0.2,5,3,2003,2013
Schizophrenia,C0036341,AGA,175,P20933,aspartylglucosaminidase,Enzyme,143,0.57,0.808,4.2802E-06,0.35,,1,5,0,2006,2019
Schizophrenia,C0036341,GABRA1,2554,P14867,gamma-aminobutyric acid type A receptor subunit alpha1,Ion channel,123,0.563,0.577,0.91489,0.35,,0.5,5,0,2005,2017
Schizophrenia,C0036341,SULT4A1,25830,Q9BR01,sulfotransferase family 4A member 1,,28,0.7,0.346,0.96563,0.35,,0.75,5,2,2005,2014
Schizophrenia,C0036341,GAP43,2596,P17677,growth associated protein 43,,109,0.564,0.731,0.021461,0.35,,1,6,0,1998,2012
Schizophrenia,C0036341,GRIA4,2893,P48058,glutamate ionotropic receptor AMPA type subunit 4,Ion channel,75,0.631,0.615,0.01831,0.35,,0.25,5,2,2003,2012
Schizophrenia,C0036341,GRIK2,2898,Q13002,glutamate ionotropic receptor kainate type subunit 2,Ion channel,130,0.561,0.769,0.99841,0.35,,0.667,6,0,1996,2017
Schizophrenia,C0036341,GRIK4,2900,Q16099,glutamate ionotropic receptor kainate type subunit 4,Ion channel,41,0.678,0.423,0.11126,0.35,,0.5,6,3,2006,2018
Schizophrenia,C0036341,HMOX1,3162,P09601,heme oxygenase 1,,666,0.381,0.923,0.0096817,0.35,,1,5,0,2012,2020
Schizophrenia,C0036341,HP,3240,P00738,haptoglobin,Enzyme,464,0.412,0.885,0.00001736,0.35,,1,6,2,1985,2020
Schizophrenia,C0036341,HTR4,3360,Q13639,5-hydroxytryptamine receptor 4,G-protein coupled receptor,80,0.61,0.615,0.024701,0.35,,0.25,5,4,2002,2013
Schizophrenia,C0036341,APOD,347,P05090,apolipoprotein D,,89,0.584,0.577,0.00054449,0.35,,0.667,5,0,2002,2006
Schizophrenia,C0036341,AR,367,P10275,androgen receptor,Nuclear receptor,854,0.351,0.846,0.98837,0.35,,0.8,5,0,1993,2019
Schizophrenia,C0036341,LTA,4049,P01374,lymphotoxin alpha,Signaling,353,0.434,0.885,0.19685,0.35,,1,5,2,2003,2017
Schizophrenia,C0036341,MET,4233,P08581,"MET proto-oncogene, receptor tyrosine kinase",Kinase,594,0.38,0.846,0.96998,0.35,,1,5,0,2005,2018
Schizophrenia,C0036341,MIR346,442911,,microRNA 346,,52,0.631,0.615,,0.35,,1,5,0,2009,2017
Schizophrenia,C0036341,NEFL,4747,P07196,neurofilament light,,247,0.488,0.769,,0.35,,0.5,6,0,2004,2009
Schizophrenia,C0036341,PDE4A,5141,P27815,phosphodiesterase 4A,,168,0.523,0.846,0.98167,0.35,,1,6,0,2007,2018
Schizophrenia,C0036341,PIK3C3,5289,Q8NEB9,phosphatidylinositol 3-kinase catalytic subunit type 3,Kinase,49,0.647,0.615,8.4165E-11,0.35,,1,5,0,2004,2009
Schizophrenia,C0036341,PLP1,5354,P60201,proteolipid protein 1,Cellular structure,160,0.543,0.769,0.92845,0.35,,0.75,6,1,2004,2010
Schizophrenia,C0036341,FXYD6,53826,Q9H0Q3,FXYD domain containing ion transport regulator 6,Ion channel,10,0.78,0.192,0.61886,0.35,,0.4,5,4,2007,2011
Schizophrenia,C0036341,PON1,5444,P27169,paraoxonase 1,,496,0.409,0.885,9.8142E-11,0.35,,0.5,5,1,2002,2019
Schizophrenia,C0036341,GNB1L,54584,Q9BYB4,G protein subunit beta 1 like,,18,0.743,0.346,0.000047419,0.35,,1,5,0,2008,2012
Schizophrenia,C0036341,PPARA,5465,Q07869,peroxisome proliferator activated receptor alpha,Nuclear receptor,408,0.432,0.885,0.030182,0.35,,0.667,6,2,2002,2019
Schizophrenia,C0036341,SLC17A6,57084,Q9P2U8,solute carrier family 17 member 6,Transporter,43,0.678,0.5,0.16199,0.35,,1,6,0,2008,2019
Schizophrenia,C0036341,SLC6A2,6530,P23975,solute carrier family 6 member 2,Transporter,238,0.49,0.846,0.081524,0.35,,0.5,6,1,2002,2018
Schizophrenia,C0036341,SMARCA2,6595,P51531,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",Epigenetic regulator,189,0.527,0.769,1,0.35,,0.75,5,2,2006,2018
Schizophrenia,C0036341,SP1,6667,P08047,Sp1 transcription factor,Nucleic acid binding,209,0.493,0.769,0.99997,0.35,,1,5,0,2007,2019
Schizophrenia,C0036341,NTNG2,84628,Q96CW9,netrin G2,Enzyme modulator,31,0.7,0.423,0.99866,0.35,,1,5,1,2005,2011
Schizophrenia,C0036341,SELENBP1,8991,Q13228,selenium binding protein 1,Immune response,214,0.493,0.846,3.2268E-16,0.35,,1,5,0,2005,2018
Schizophrenia,C0036341,SYNGR1,9145,O43759,synaptogyrin 1,Transporter,17,0.736,0.346,0.45121,0.35,,1,5,1,2004,2009
Schizophrenia,C0036341,HTR3B,9177,O95264,5-hydroxytryptamine receptor 3B,Ion channel,49,0.678,0.423,2.4797E-07,0.35,,1,5,1,2004,2017
Schizophrenia,C0036341,CDC42,998,P60953,cell division cycle 42,Enzyme modulator,327,0.458,0.846,0.78728,0.35,,1,6,1,2006,2017
Schizophrenia,C0036341,DGCR2,9993,P98153,DiGeorge syndrome critical region gene 2,,77,0.623,0.731,5.1573E-06,0.35,,0.8,5,2,2006,2019
Schizophrenia,C0036341,SIRPB1,10326,O00241;Q5TFQ8,signal regulatory protein beta 1,Signaling,10,0.839,0.231,2.3107E-12,0.34,,1,4,0,2009,2014
