Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
"potassium voltage-gated channel, subfamily G, member 3",KCNG3,170850,ion channel,,,,,Kcng3,,,,,,,,,ND,low,-,none,-,none,-,none,++,scattered+ubiquitous,++,scattered+ubiquitous,Voltage-gated potassium channel,Cation transport;Blood circulation and gas exchange,
"potassium voltage-gated channel, subfamily G, member 4",KCNG4,93107,ion channel,,,interneuron,,Kcng4,,hV-mV,,,,,V1 ≠ TEa,diff,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+++++,sparse(5),+,sparse to none,Voltage-gated potassium channel,Cation transport;Blood circulation and gas exchange,
"potassium voltage-gated channel, subfamily H (eag-related), member 1",KCNH1,3756,ion channel,,,,,Kcnh1,,,,,18 ≠ 21,,,,laminar,medium,+++,ubiquitous(2/3),+++,ubiquitous(2/3),+++,ubiquitous(2/3),+++,ubiquitous,+++,ubiquitous,Voltage-gated potassium channel,Cell communication;Cation transport,
"potassium voltage-gated channel, subfamily H (eag-related), member 2  ",KCNH2,3757,ion channel,,,,,Kcnh2,,,no mouse coronal data,,,,,,scattered,medium,++,scattered,++,scattered,,,+,ubiquitous,,,Voltage-gated potassium channel,Cell communication;Cation transport,
"potassium voltage-gated channel, subfamily H (eag-related), member 3",KCNH3,23416,ion channel,,,,,Kcnh3,,,,,17 ≠ 18,yes,,,widespread,high,++++,"ubiquitous(2/3,4C,5/6)",++++,ubiquitous,++++,ubiquitous,+++,ubiquitous,+++,ubiquitous,Voltage-gated potassium channel,Cell communication;Cation transport,
"potassium voltage-gated channel, subfamily H (eag-related), member 4",KCNH4,23415,ion channel,,,,layer 2/3/6,Kcnh4,no mouse data,,no mouse data,,17 ≠ 18,yes,,,laminar,medium,+++,"layer 2/3,6",+++,"ubiquitous(2/3,(6))",,,,,,,Voltage-gated potassium channel,Cell communication;Cation transport,
"potassium voltage-gated channel, subfamily H (eag-related), member 5  ",KCNH5,27133,ion channel,,,layer 3/4,,Kcnh5,h Down,,no mouse coronal data,,,,,,laminar,medium,+++,"layer 2/3,6",+++,"layer 2/3,6",,,+++++,"layer 2/3,4,5s",,,Voltage-gated potassium channel,Cell communication;Cation transport,
"potassium voltage-gated channel, subfamily H (eag-related), member 6",KCNH6,81033,ion channel,epilepsy,,,,Kcnh6,,,no mouse coronal data,,,,,,ND,low,+,sparse to none,+,sparse to none,,,+,sparse to none,,,Voltage-gated potassium channel,Cell communication;Cation transport,
"potassium voltage-gated channel, subfamily H (eag-related), member 7  ",KCNH7,90134,ion channel,,,,,Kcnh7,h Down,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,+++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Voltage-gated potassium channel,Cell communication;Cation transport,
"potassium voltage-gated channel, subfamily H (eag-related), member 8",KCNH8,131096,ion channel,,,,,Kcnh8,h Up,,,,17 ≠ 18,yes,,diff,laminar,medium,+++,layer 4C,++,scattered,++,scattered,+,sparse to none,+,sparse to none,Voltage-gated potassium channel,Cell communication;Cation transport,
Kv channel interacting protein 1,KCNIP1,30820,signal transduction,,,interneuron,interneuron/layer4c,Kcnip1,,,,,17 ≠ 18,yes,,,scattered,high,++++,scattered+layer 4,++++,scattered,++++,scattered (5),++,scattered,++,scattered,Other select calcium binding proteins,Calcium mediated signaling,
Kv channel interacting protein 2  ,KCNIP2,30819,signal transduction,,,interneuron/layer2/3,interneuron/layer2/3,Kcnip2,,,no mouse coronal data,,,,,,laminar,high,+++++,"scattered+layer 2/3,4C,6",+++++,scattered+layer 2,,,+++++,scattered,,,Other select calcium binding proteins,Calcium mediated signaling,
"Kv channel interacting protein 3, calsenilin",KCNIP3,30818,signal transduction,Alzheimer,,,,Kcnip3,,,,,17 ≠ 18,yes,,,widespread,high,++++,"ubiquitous(2/3,4C,5/6)",++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,layer 6(5)+scattered,Other select calcium binding proteins,Calcium mediated signaling,
"potassium inwardly-rectifying channel, subfamily J, member 1  ",KCNJ1,3758,ion channel,,,,,Kcnj1,no mouse data,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,,,,,Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 10",KCNJ10,3766,ion channel,epilepsy,,,,Kcnj10,,,no mouse coronal data,,,,,,scattered,medium,+++,scattered,+++,scattered,,,+++,scattered,,,Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 11  ",KCNJ11,3767,ion channel,,,,,Kcnj11,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous(2/3),,,Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 12  ",KCNJ12,3768,ion channel,,,,,Kcnj12,,,,,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,+,sparse to none,+,sparse to none,Voltage-gated potassium channel,Cation transport;Action potential propagation,
"potassium inwardly-rectifying channel, subfamily J, member 13",KCNJ13,3769,ion channel,,,,,Kcnj13,no mouse data,,no mouse data,,,,,,ND,low,-,none,-,none,,,,,,,Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 14",KCNJ14,3770,ion channel,,,,,Kcnj14,,,,,,,,,ND,low,-,none,-,none,-,none,-,none,-,none,Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 15  ",KCNJ15,3772,ion channel,,,,,Kcnj15,,,,,,,,,ND,low,-,none,-,none,-,none,-,none,-,none,Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 16  ",KCNJ16,3773,ion channel,,,,,Kcnj16,,,,,,,,,ND,low,-,none,-,none,-,none,-,none,-,none,Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 2",KCNJ2,3759,ion channel,,,,,Kcnj2,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,-,none,-,none,Voltage-gated potassium channel,Cation transport;Action potential propagation;Muscle contraction,
"potassium inwardly-rectifying channel, subfamily J, member 3  ",KCNJ3,3760,ion channel,epilepsy,,,,Kcnj3,,,,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Voltage-gated potassium channel,Cation transport,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->G-protein receptor kinase;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->G protein-coupled inwardly rectifying potassium channel;;GABA-B_receptor_II_signaling->Inwardly rectifying potassium channel Kir3.1;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->G protein-activated inward rectifying potassium channel;;;;;
"potassium inwardly-rectifying channel, subfamily J, member 4",KCNJ4,3761,ion channel,,,,,Kcnj4,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,4C,5/6",+++,ubiquitous,+++,ubiquitous,++++,"layer 2/3,5d,6",++++,"layer 2/3,5d,6",Voltage-gated potassium channel,Cation transport,
"potassium inwardly-rectifying channel, subfamily J, member 5",KCNJ5,3762,ion channel,,,,,Kcnj5,,,,,,,,,sparse,medium,++,sparse,++,sparse,++,sparse,-,none,-,none,Voltage-gated potassium channel,Cation transport;Muscle contraction,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->G-protein receptor kinase;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->G protein-coupled inwardly rectifying potassium channel;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->G protein-activated inward rectifying potassium channel;;;;
"potassium inwardly-rectifying channel, subfamily J, member 6  ",KCNJ6,3763,ion channel,epilepsy,,,,Kcnj6,,,,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Voltage-gated potassium channel,Cation transport,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->G-protein receptor kinase;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->G protein-coupled inwardly rectifying potassium channel;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->G protein-activated inward rectifying potassium channel;;;;
"potassium inwardly-rectifying channel, subfamily J, member 8  ",KCNJ8,3764,ion channel,,,,,Kcnj8,,,,,,,,,ND,low,-,none,+,ubiquitous,+,ubiquitous,-,none,-,none,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 1  ",KCNK1,3775,ion channel,,,,,Kcnk1,,,,hT-mT,17 ≠ 18,yes,,,widespread,high,+++++,"scattered+2/3,4C,5/6",+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,++++,"layer 2/3,5d,6+scattered",++++,layer 6+scattered,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 10",KCNK10,54207,ion channel,,,,,1700024D23Rik,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 13  ",KCNK13,56659,ion channel,,,interneuron,,Kcnk13,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,++++,scattered,++++,scattered,Voltage-gated potassium channel,Cation transport;Other neuronal activity,
"potassium channel, subfamily K, member 15",KCNK15,60598,ion channel,,,,,Kcnk15,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,-,none,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 16  ",KCNK16,83795,ion channel,,,,,Kcnk16,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 17  ",KCNK17,89822,ion channel,,,,,,no mouse ortholog,,no mouse ortholog,,,,,,ND,low,-,none,-,none,,,,,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 18",KCNK18,338567,ion channel,,,,,Kcnk18,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 2  ",KCNK2,3776,ion channel,,,layer 5/6,layer 5/6,Kcnk2,h Down,,h Down,,17 ≠ 18,yes,,,laminar,medium,++,"layer 4C,5/6",++,"layer 5,6",++,"layer 5,6",++++,"layer 5,6",++++,"layer 5,6",Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 3",KCNK3,3777,ion channel,,,,,Kcnk3,no mouse data,,no mouse data,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,,,,,,,Voltage-gated potassium channel,Cation transport;Other neuronal activity,Opioid proenkephalin pathway->K+ channel;;5HT3 type receptor mediated signaling pathway->K+ channel;;5HT1 type receptor mediated signaling pathway->K+ channel;;Opioid proopiomelanocortin pathway->K+ channel;;Dopamine receptor mediated signaling pathway->K+ channel;;5HT2 type receptor mediated signaling pathway->K+ channel;;5HT4 type receptor mediated signaling pathway->K+ channel;;;;;;;;
"potassium channel, subfamily K, member 4  ",KCNK4,50801,ion channel,,,,,Kcnk4,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+,sparse to none,,,Voltage-gated potassium channel,Cation transport;Other neuronal activity,
"potassium channel, subfamily K, member 5",KCNK5,8645,ion channel,,,,,Kcnk5,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+,sparse to none,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily K, member 6  ",KCNK6,9424,ion channel,,,,,Kcnk6,h Up,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,-,none,,,Voltage-gated potassium channel,Ion transport;Synaptic transmission;Action potential propagation,
"potassium channel, subfamily K, member 7  ",KCNK7,10089,ion channel,,,,,Kcnk7,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,-,none,,,Voltage-gated potassium channel,Biological process unclassified,
"potassium channel, subfamily K, member 9  ",KCNK9,51305,ion channel,epilepsy,,,,Kcnk9,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous(6),++,ubiquitous,,,++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,Opioid proenkephalin pathway->K+ channel;;5HT3 type receptor mediated signaling pathway->K+ channel;;5HT1 type receptor mediated signaling pathway->K+ channel;;Opioid proopiomelanocortin pathway->K+ channel;;Dopamine receptor mediated signaling pathway->K+ channel;;5HT2 type receptor mediated signaling pathway->K+ channel;;5HT4 type receptor mediated signaling pathway->K+ channel;;;;;;;;
"potassium large conductance calcium-activated channel, subfamily M, beta member 1",KCNMB1,3779,ion channel,,,,,Kcnmb1,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,ubiquitous,,,Voltage-gated potassium channel,Cation transport;Synaptic transmission;Muscle contraction,
"potassium large conductance calcium-activated channel, subfamily M, beta member 2  ",KCNMB2,10242,ion channel,,,,,Kcnmb2,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Voltage-gated potassium channel,Cation transport;Synaptic transmission,
"potassium large conductance calcium-activated channel, subfamily M beta member 3",KCNMB3,27094,ion channel,,,,,Kcnmb3,no mouse data,,no mouse data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,,,,,Voltage-gated potassium channel,Cation transport;Synaptic transmission,
"potassium large conductance calcium-activated channel, subfamily M, beta member 4",KCNMB4,27345,ion channel,,,,,Kcnmb4,,,,,17 ≠ 18,yes,,,laminar,medium,+++,"ubiquitous(4C,5/6)",+++,"ubiquitous(5,6)",+++,"ubiquitous(5,6)",++++,"ubiquitous(5,6)",++++,"ubiquitous(5,6)",Voltage-gated potassium channel,Cation transport;Synaptic transmission,
"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1",KCNN1,3780,ion channel,,,,,Kcnn1,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous(5),,,Voltage-gated potassium channel,Cation transport,
"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2",KCNN2,3781,ion channel,,,layer 5,,Kcnn2,h Down,,,,18 ≠ 21,,,,widespread,medium,+++,sparse(5)+ubiquitous,+++,sparse+ubiquitous,+++,sparse+ubiquitous,+++++,layer 5,+++++,layer 5,Voltage-gated potassium channel,Cation transport,
"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",KCNN3,3782,ion channel,Schizophrenia,,,,Kcnn3,h Down,,no mouse coronal data,,18 ≠ 21,,,,ND,low,-,none,-,none,,,++++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,
"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4  ",KCNN4,3783,ion channel,,,,,Kcnn4,,,,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,+,ubiquitous,+,ubiquitous,Voltage-gated potassium channel,Cation transport,
"potassium voltage-gated channel, KQT-like subfamily, member 1",KCNQ1,3784,ion channel,,,,,Kcnq1,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,
"potassium voltage-gated channel, KQT-like subfamily, member 2",KCNQ2,3785,ion channel,epilepsy,,,,Kcnq2,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,Muscarinic acetylcholine receptor 1 and 3 signaling pathway->KCNQ K(+) channel;;
"potassium voltage-gated channel, KQT-like subfamily, member 3 ",KCNQ3,3786,ion channel,epilepsy,,,,Kcnq3,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,4C,5/6",+++,ubiquitous,+++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Voltage-gated potassium channel,Cation transport;Synaptic transmission,
"potassium voltage-gated channel, KQT-like subfamily, member 4",KCNQ4,9132,ion channel,,,,,Kcnq4,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,sparse to none,+,sparse to none,Voltage-gated potassium channel,Cation transport;Hearing,
"potassium voltage-gated channel, KQT-like subfamily, member 5",KCNQ5,56479,ion channel,,,,,Kcnq5,,,,,17 ≠ 18,yes,,,laminar,medium,+++,"layer (2/3),4C,5/6",++,"layer(2/)3,5,6",++,"layer(2/)3,5,6",++++,"layer 2/3,5,6",+++,ubiquitous,Voltage-gated potassium channel,Cation transport;Synaptic transmission,
"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2",KCNS2,3788,ion channel,,,,,Kcns2,,,,,17 ≠ 18,yes,,,widespread,medium,++,"layer 2/3,4C,5/6",++,ubiquitous,++,ubiquitous,++,ubiquitous,++,ubiquitous,Molecular function unclassified,Biological process unclassified,
"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3",KCNS3,3790,ion channel,,,interneuron,interneuron,Kcns3,,,,,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,++++,scattered,++++,scattered,Molecular function unclassified,Biological process unclassified,
"potassium channel, subfamily T, member 1",KCNT1,57582,ion channel,,,,,Kcnt1,,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,+++,"layer 2/3,5d,6",,,Ion channel,Cation transport,
"potassium channel, subfamily T, member 2",KCNT2,343450,ion channel,,,,,Kcnt2,h Down,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily V, member 1",KCNV1,27012,ion channel,epilepsy,,,,Kcnv1,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,4C,5/6",+++,"layer 2/3,5,6",,,++,ubiquitous,,,Voltage-gated potassium channel,Cation transport,
"potassium channel, subfamily V, member 2",KCNV2,169522,ion channel,,,,,Kcnv2,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,++,"layer 2/3,5,6",++,"layer 2/3,5,6",Voltage-gated potassium channel,Cation transport,
potassium channel tetramerisation domain containing 12,KCTD12,115207,signal transduction,,,interneuron,interneuron,Kctd12,,,,,,,V1 ≠ TEa,,sparse,high,++++,sparse,++++,sparse,++++,sparse,+++++,sparse,+++++,sparse+layer 2/3,Select regulatory molecule,Cation transport,
potassium channel tetramerisation domain containing 4,KCTD4,386618,signal transduction,,,layer 2/3,,Kctd4,,hV-mV,,hT-mT,18 ≠ 21,,,,scattered,medium,++,scattered,++,scattered,++,scattered,++,scattered+layer 2/3,++,scattered+layer 2/3,Select regulatory molecule,Cation transport,
lysine (K)-specific demethylase 5C,KDM5C,8242,transcription factor,mental retardation,,,,Jarid1c,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++,ubiquitous,,,Other zinc finger transcription factor,mRNA transcription;Spermatogenesis and motility,
KIAA1024 protein,KIAA1024,23251,other membrane protein,,,interneuron,,AF529169,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,sparse,+++,scattered,Molecular function unclassified,Biological process unclassified,
KIAA1199,KIAA1199,57214,other intracellular,,,interneuron,interneuron,9930013L23Rik,,,,,17 ≠ 18,yes,,diff,scattered,medium,+++,scattered+layer 4C,+++,scattered,+++,scattered,++++,scattered,++++,scattered,Molecular function unclassified,Biological process unclassified,
KIAA1279,KIAA1279,26128,cytoskeletal protein,microcephaly,,,,2510003E04Rik,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,++++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
KIAA1370,KIAA1370,56204,other intracellular,,,interneuron/oligodendrocyte,,BC031353,,hV-mV,,hT-mT,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++++,sparse,+++++,sparse,Molecular function unclassified,Biological process unclassified,
KIAA1456,KIAA1456,57604,other intracellular,,,layer 5,layer 4/5/6,6430573F11Rik,,hV-mV,,hT-mT,17 ≠ 18,yes,,,laminar,high,++++,"ubiquitous(2/3,4C,5/6)",++++,"ubiquitous(4,5,6)",++++,"ubiquitous(4,5,6)",+++,layer 5,+++,layer 5,Molecular function unclassified,Biological process unclassified,
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,KIT,3815,kinase,,,interneuron,interneuron,Kit,,,,,,,,,scattered,high,+++++,scattered,+++++,scattered,+++++,scattered,+++++,scattered,+++++,scattered,Tyrosine protein kinase receptor;Protein kinase,Protein phosphorylation;Receptor protein tyrosine kinase signaling pathway;Stress response;Gametogenesis;Embryogenesis;Cell proliferation and differentiation;Oncogenesis;Cell motility,
kallikrein-related peptidase 6,KLK6,5653,metabolic enzyme,Alzheimer,,,,Klk6,,,,,,,,,scattered,high,++++,"scattered(5/6,deep)",++++,"scattered(5/6,deep)",++++,"scattered(5/6,deep)",+++++,"sparse(6,deep)",+++++,"sparse(6,deep)",Serine protease,Proteolysis,
keratin 80,KRT80,144501,cytoskeletal protein,,,layer 5/6,,Krt80,,hV-mV,,hT-mT,,,,,scattered,medium,++,scattered,++,scattered,++,scattered,++++,"layer 5d,6",++++,"layer 5d,6",Intermediate filament;Structural protein,Ectoderm development;Cell structure,
keratin 9 (epidermolytic palmoplantar keratoderma),KRT9,3857,cytoskeletal protein,,,interneuron,,Krt9,h Down,,h Down,,,,,diff,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,++++,sparse,++++,sparse,Intermediate filament;Structural protein,Cell structure,
L1 cell adhesion molecule  ,L1CAM,3897,cell adhesion,mental retardation,,,,L1cam,,,,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,+++,"layer 2/3,5,6",+++,"layer 2/3,5,6",CAM family adhesion molecule,Cell adhesion-mediated signaling;Cell adhesion;Neurogenesis,
like-glycosyltransferase,LARGE,9215,metabolic enzyme,mental retardation,Hapmap,,,Large,,,,,,,,,widespread,high,++++,"layer 2/3,4C,5/6",++++,ubiquitous(6),++++,ubiquitous(6),+++,ubiquitous,+++,ubiquitous,Glycosyltransferase,Carbohydrate metabolism;Protein glycosylation,
layilin,LAYN,143903,other membrane protein,,,,,Layn,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,++,scattered,++,scattered,Molecular function unclassified,Biological process unclassified,
low density lipoprotein receptor (familial hypercholesterolemia),LDLR,3949,other membrane protein,,,,,Ldlr,,,,,,,,diff,widespread,medium,++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+,sparse to none,+,sparse to none,Other receptor,Oogenesis,Alzheimer disease-presenilin pathway->LRP C-terminal fragment;;Alzheimer disease-presenilin pathway->LRP N-terminal fragment;;Alzheimer disease-presenilin pathway->Low-density lipoprotein receptor-related protein;;Alzheimer disease-presenilin pathway->LRP intracellular fragment;;Alzheimer disease-presenilin pathway->LRP transmembrane fragment;;;;;;
leptin receptor ,LEPR,3953,other membrane protein,obesity,,,,Lepr,,,,hT-mT,,,V1 ≠ TEa,diff,scattered,medium,+++,scattered,+++,scattered,+++,scattered,++++,sparse(6)+scattered,++++,"scattered(5,6)+layer 2/3",Other receptor,Cytokine and chemokine mediated signaling pathway;Other sensory perception;Other homeostasis activities,
"lectin, galactoside-binding, soluble, 1 (galectin 1)",LGALS1,3956,extracellular matrix,,,interneuron,layer 3/5,Lgals1,,hV-mV,,hT-mT,17 ≠ 18,no,,,laminar,high,++++,scattered+layer 5/6,++++,"layer 3,5/6",++++,"layer 3,5/6",++++,sparse(5/6),++++,sparse(5/6),Other signaling molecule;Other cell adhesion molecule,Cell adhesion;Other immune and defense;Induction of apoptosis,
"leucine-rich, glioma inactivated 1 ",LGI1,9211,secreted protein,epilepsy,,,,Lgi1,,,,,,,,,widespread,medium,+++,"ubiquitous(4c,6)",+++,ubiquitous(6),+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,Receptor;Extracellular matrix,Biological process unclassified,
"leucine-rich repeat LGI family, member 2",LGI2,55203,secreted protein,,,interneuron,interneuron,Lgi2,,,,,,,,,scattered,high,++++,scattered,++++,scattered,++++,scattered,++++,scattered,++++,scattered,Receptor;Extracellular matrix,Biological process unclassified,
"leucine-rich repeat LGI family, member 3",LGI3,203190,secreted protein,epilepsy,,,,Lgi3,,,,,,,,,scattered,high,+++++,"scattered(3,5)+ubiquitous",+++++,"scattered(3,5)+ubiquitous",+++++,"scattered(3,5)+ubiquitous",+++++,scattered(5)+oligodendrocyte,+++++,scattered(5)+oligodendrocyte,Receptor;Extracellular matrix,Biological process unclassified,
leucine-rich repeat-containing G protein-coupled receptor 4  ,LGR4,55366,GPCR,,,,,Lgr4,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Receptor;Extracellular matrix,Biological process unclassified,
leucine-rich repeat-containing G protein-coupled receptor 5  ,LGR5,8549,GPCR,,,,,Lgr5,,,,,,,,,ND,low,-,none,-,none,-,none,++,sparse(5),++,sparse(5),Receptor;Extracellular matrix,Biological process unclassified,
leucine-rich repeat-containing G protein-coupled receptor 6  ,LGR6,59352,GPCR,,,,,Lgr6,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous(6),++,ubiquitous(6),,,-,none,,,Receptor;Extracellular matrix,Biological process unclassified,
LIM homeobox 1,LHX1,3975,transcription factor,,protein evolution,,,Lhx1,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,sparse to none,+,sparse to none,Homeobox transcription factor;Other zinc finger transcription factor;Nucleic acid binding,mRNA transcription regulation;Neurogenesis,
LIM homeobox 6,LHX6,26468,transcription factor,,,interneuron,interneuron,Lhx6,,,,,,,,,scattered,medium,+++,scattered,+++,scattered,+++,scattered,++,scattered,++,scattered,Homeobox transcription factor;Other zinc finger transcription factor;Nucleic acid binding,mRNA transcription regulation;Neurogenesis,
"ligase IV, DNA, ATP-dependent",LIG4,3981,other nuclear protein,microcephaly,,,,Lig4,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,ubiquitous,,,DNA ligase;Ligase,DNA repair;DNA recombination,
Similar to lymphocyte-specific protein 1 isoform 1,LOC645166,645166,,,HLS: (IMAGE clone ID)1592675,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,medium,+++,"ubiquitous(2/3,5/6)",+++,"ubiquitous(2/3,5/6)",,,,,,,Other signaling molecule;Non-motor actin binding protein,Signal transduction;Immunity and defense;Cell motility,
Hypothetical protein LOC727820,LOC727820,727820,,,HLS: (IMAGE clone ID)109123,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
Similar to Nuclear envelope pore membrane protein POM 121 (Pore membrane protein of 121 kDa) ,LOC727983,727983,,,HLS: (IMAGE clone ID)234376,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
Similar to rho guanine nucleotide exchange factor 5,LOC728377,728377,other intracellular,,HLS: (IMAGE clone ID)451095,,,,no mouse ortholog,,no mouse ortholog,,,,,diff,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
